Round,Hole Number,Trajectory Sequence,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate
4,5,1,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,9988.60546875000000000000,12985.09179687500000000000,136.50000000000000000000
4,5,2,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10032.44531250000000000000,12968.20507812500000000000,146.00700378417970000000
4,5,3,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10073.65332031250000000000,12951.94042968750000000000,155.29400634765625000000
4,5,4,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10112.43457031250000000000,12936.26171875000000000000,164.31100463867188000000
4,5,5,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10148.98339843750000000000,12921.13769531250000000000,173.01199340820312000000
4,5,6,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10183.47265625000000000000,12906.53613281250000000000,181.35200500488280000000
4,5,7,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10216.06933593750000000000,12892.42480468750000000000,189.28799438476562000000
4,5,8,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10246.92480468750000000000,12878.77246093750000000000,196.77999877929688000000
4,5,9,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10276.17871093750000000000,12865.54785156250000000000,203.79100036621094000000
4,5,10,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10303.95996093750000000000,12852.72460937500000000000,210.28799438476562000000
4,5,11,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10330.38867187500000000000,12840.27343750000000000000,216.23800659179688000000
4,5,12,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10355.57324218750000000000,12828.16796875000000000000,221.61300659179688000000
4,5,13,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10379.61328125000000000000,12816.38281250000000000000,226.38600158691406000000
4,5,14,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10402.60156250000000000000,12804.89453125000000000000,230.53599548339844000000
4,5,15,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10424.62304687500000000000,12793.68164062500000000000,234.03999328613280000000
4,5,16,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10445.75390625000000000000,12782.72167968750000000000,236.88299560546875000000
4,5,17,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10466.06640625000000000000,12771.99609375000000000000,239.04899597167970000000
4,5,18,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10485.62207031250000000000,12761.48730468750000000000,240.52699279785156000000
4,5,19,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10504.48339843750000000000,12751.17773437500000000000,241.30700683593750000000
4,5,20,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10522.70117187500000000000,12741.05371093750000000000,241.38299560546875000000
4,5,21,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10540.32812500000000000000,12731.10156250000000000000,240.75100708007812000000
4,5,22,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10557.40722656250000000000,12721.30859375000000000000,239.40699768066406000000
4,5,23,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10573.98144531250000000000,12711.66503906250000000000,237.35400390625000000000
4,5,24,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10590.08789062500000000000,12702.16015625000000000000,234.59199523925780000000
4,5,25,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10605.76269531250000000000,12692.78710937500000000000,231.12500000000000000000
4,5,26,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10621.04003906250000000000,12683.53710937500000000000,226.96000671386720000000
4,5,27,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10635.94824218750000000000,12674.40527343750000000000,222.10400390625000000000
4,5,28,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10650.51464843750000000000,12665.38476562500000000000,216.56300354003906000000
4,5,29,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10664.76953125000000000000,12656.47167968750000000000,210.34899902343750000000
4,5,30,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10678.73730468750000000000,12647.66308593750000000000,203.46899414062500000000
4,5,31,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10692.44140625000000000000,12638.95312500000000000000,195.93499755859375000000
4,5,32,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10705.90527343750000000000,12630.33789062500000000000,187.75599670410156000000
4,5,33,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10719.15136718750000000000,12621.81542968750000000000,178.94299316406250000000
4,5,34,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10732.20117187500000000000,12613.38085937500000000000,169.50399780273438000000
4,5,35,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10745.07714843750000000000,12605.02929687500000000000,159.44900512695312000000
4,5,36,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10757.79882812500000000000,12596.75585937500000000000,148.78300476074220000000
4,5,37,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10770.38769531250000000000,12588.55566406250000000000,137.51400756835938000000
4,5,38,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10782.86523437500000000000,12580.42089843750000000000,125.64299774169922000000
4,5,39,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10795.25000000000000000000,12572.34179687500000000000,113.17099761962890000000
4,5,40,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10807.56347656250000000000,12564.30859375000000000000,100.09799957275390000000
4,5,41,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10819.82421875000000000000,12556.30859375000000000000,86.41600036621094000000
4,5,42,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10832.05371093750000000000,12548.32910156250000000000,72.11699676513672000000
4,5,43,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10844.27148437500000000000,12540.34863281250000000000,57.18600082397461000000
4,5,44,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10856.49609375000000000000,12532.34863281250000000000,41.60599899291992000000
4,5,45,10792.85937500000000000000,12573.90136718750000000000,115.57800292968750000000,10858.94433593750000000000,12530.74511718750000000000,38.40999984741211000000
