Tournament Year,Permanent Tournament #,Event Name,Course Name,Round Number,Round Score
2017,464,Safeway Open,Silverado Resort and Spa North,2,76
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,77
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,76
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,79
2017,464,Safeway Open,Silverado Resort and Spa North,2,77
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,66
2017,464,Safeway Open,Silverado Resort and Spa North,2,76
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,65
2017,464,Safeway Open,Silverado Resort and Spa North,2,76
2017,464,Safeway Open,Silverado Resort and Spa North,2,79
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,66
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,67
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,68
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,75
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,76
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
